source,target,value
3,0,0.5
4,0,0.5
5,0,0.5
6,0,0.5
7,0,0.5
8,0,0.5
9,0,0.5
10,0,0.5
11,0,0.5
12,0,0.5
3,1,0.5
5,1,0.5
6,1,0.5
7,1,0.5
8,1,0.5
3,2,0.5
4,2,0.5
5,2,0.5
6,2,0.5
7,2,0.5
8,2,0.5
11,2,0.5
12,2,0.5
13,2,0.5
