asv	BJ-1	BJ-2	BJ-3	HLD_A-1	HLD_A-2	HLD_A-3	HLD_B-1	HLD_B-2	HLD_B-3	MW-1	MW-2	MW-3	WLD-1	WLD-2	WLD-3	WZ-1	WZ-2	WZ-3
ASV1	246020	223467	166936	159114	53130	207054	122491	167239	80832	303336	198062	194365	130131	230787	154603	246982	234142	249073
ASV2	9479	3211	4817	7	887	48	14747	2501	257	2782	2311	9594	18525	11773	7823	11816	9571	3495
ASV3	4106	0	1918	6911	1575	5488	7199	2158	3442	0	0	1380	1295	1068	948	3481	1984	0
ASV4	0	0	0	0	35	0	19133	27122	31675	0	0	0	0	0	0	0	0	0
ASV5	0	0	0	4	39	0	6859	24602	28185	0	0	0	0	0	0	0	0	0
ASV6	0	0	0	0	39	0	9588	19388	23798	0	0	0	0	0	0	0	0	0
ASV7	5	0	1310	36	908	22	3824	3970	1619	0	0	9517	0	8	2204	0	2143	0
ASV8	1491	3310	451	268	19	58	18	641	114	2364	2347	933	1400	5836	1408	2	333	2992
ASV9	0	0	0	2	17	0	6015	13596	16713	2	0	2	0	0	0	0	0	0
ASV10	0	0	978	828	42	14	2050	0	1584	3	2368	0	6	0	9	0	3012	0
ASV11	0	0	0	808	1617	995	5992	1516	0	0	0	7	0	0	6	0	1396	16
ASV12	0	0	0	1006	3306	6957	172	573	3635	0	0	0	0	0	0	0	0	0
ASV14	0	0	5404	2432	411	3957	0	1844	0	0	0	0	2201	0	13	0	0	3622
ASV16	937	1865	336	0	0	0	0	0	0	0	1531	158	4648	142	2248	329	0	2949
ASV17	13	0	0	1490	2986	1804	0	6	0	0	6	0	2448	0	8801	0	10	0
ASV18	0	3150	0	1593	0	18	0	8	0	0	0	0	0	3247	1962	3772	3107	9
ASV19	0	0	0	2400	0	0	0	11	0	0	4910	1383	2	28	0	2373	0	1819
ASV20	0	0	0	0	0	0	2171	0	0	0	0	0	0	3931	0	3	6513	0
ASV21	0	0	0	1333	178	2767	1096	2265	2599	0	0	0	0	0	0	0	0	0
ASV22	0	0	0	0	10	0	3253	3980	5201	0	0	0	0	0	0	0	0	0
ASV23	0	5	0	0	0	0	0	0	0	11278	0	0	0	0	0	0	0	0
ASV25	3076	0	0	0	0	0	0	1880	0	0	2074	0	0	0	5	0	0	0
ASV26	0	0	0	2452	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ASV27	0	3541	1510	0	839	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV28	1819	2	0	0	0	0	0	0	0	0	0	856	0	0	2	0	0	3209
ASV30	0	0	0	0	0	0	1985	3352	0	0	0	0	0	0	0	0	0	0
ASV33	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	766	0	3410
ASV34	0	0	0	0	6	0	0	0	2981	0	0	805	0	0	0	0	0	0
ASV36	0	0	0	0	0	0	0	0	0	0	3454	0	0	0	0	0	0	61
ASV38	0	0	0	0	0	0	0	0	0	0	12	0	2403	0	0	0	0	0
ASV42	0	0	0	2798	0	0	0	11	0	0	0	0	0	0	0	0	0	0
ASV43	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2677	0	4	0
ASV44	0	0	0	930	1676	0	0	5	0	0	0	0	0	0	0	0	0	0
ASV47	0	0	0	0	0	2572	0	0	0	0	0	0	0	0	0	0	0	0
ASV48	0	0	0	2526	0	0	0	9	0	0	0	0	0	0	0	0	0	0
ASV49	0	0	0	0	0	0	0	0	2517	0	0	0	0	0	0	0	0	0
ASV122	0	0	0	0	867	134	0	0	36	0	0	0	0	0	0	0	0	0
ASV135	0	0	0	0	821	102	0	0	0	0	0	0	0	0	0	0	0	0
ASV157	0	0	0	0	795	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV165	0	0	0	0	755	0	0	0	2	0	0	0	0	0	0	0	0	0
