id	group	sum	Froh_genome
s286	C	37653057	0.04384883
s29	C	50271874	0.058544061
s30	C	57026630	0.066410305
s31	C	53528832	0.062336948
s32	C	11660826	0.013579603
s33	C	39562630	0.046072621
s34	C	71180020	0.082892621
s35	C	45869232	0.053416968
s36	C	69153049	0.080532114
s37	C	70713728	0.082349601
s38	C	54798429	0.063815456
s39	C	32943000	0.038363738
s4	C	28861769	0.033610944
s42	C	22094668	0.025730324
s43	C	44664458	0.05201395
s44	C	50192216	0.058451295
s45	C	33239692	0.03870925
s46	C	55646517	0.064803096
s47	C	61648721	0.071792956
s48	C	28793453	0.033531387
s5	C	32954127	0.038376696
s52	C	79338364	0.092393413
s53	C	40355585	0.046996056
s54	C	28644444	0.033357859
s55	C	27175031	0.031646655
s56	C	27037714	0.031486743
s6	C	31323995	0.036478327
s61	C	47767248	0.055627301
s62	C	92575772	0.107809023
s63	C	56636804	0.065956334
s66	C	56439916	0.065727048
s67	C	71250268	0.082974428
s68	C	66101675	0.07697864
s69	C	55622167	0.064774739
s7	C	36236849	0.042199586
s70	C	21480476	0.025015067
s71	C	28479759	0.033166075
s72	C	112881077	0.131455546
s73	C	46742538	0.054433976
s74	C	51939410	0.060485988
s75	C	47484986	0.055298593
s77	C	57746171	0.067248246
s78	C	73426716	0.085509009
s8	C	21859455	0.025456406
s80	C	42621434	0.049634748
s81	C	39138557	0.045578767
s82	C	76942598	0.089603426
s84	C	51945099	0.060492613
s86	C	37854723	0.04408368
s89	C	95682679	0.111427168
s9	C	52740644	0.061419064
s91	C	29707146	0.034595427
s96	C	43952538	0.051184884
s98	C	73094715	0.085122377
