BJ-1	BJ-2	BJ-3	HLD_A-1	HLD_A-2	HLD_A-3	HLD_B-1	HLD_B-2	HLD_B-3	MW-1	MW-2	MW-3	WLD-1	WLD-2	WLD-3	WZ-1	WZ-2	WZ-3
ASV22	3.34753945389078e-05	0	0	1.60857908847185e-05	0	0	0.00607489630375265	0	0	0	1.63237470617255e-05	0	0.0112346020184305	1.81082511252266e-05	0	0.00116103052481519	0.00448301053044206	0.00969904043987516
ASV23	0	0	0	1.78731009830206e-05	1.67457749479486e-05	0	3.9167609953273e-06	0.00894138351157439	0	0	0	0	0.0123014028971903	0	0	0	0.000156798460524206	0.00245021584850037
ASV24	0.0125135209210755	0	0	0.00158176943699732	2.41883415914812e-05	0	0.00279526176366525	0.00841207526736158	0.00667265477749684	0	0.00253924954293508	0	0	0	0	0	0	1.45461363037621e-05
ASV25	0.00535397091406657	0	0	0.00572832886505809	0	0.0104147944580693	0.00854115014381041	3.65506971707053e-05	0	0	0	0	0	2.21323069308325e-05	0	0	0	0.00593643984930203
ASV26	0	0	0	0	1.1163849965299e-05	0	0	0.0145552998510898	0.007611759383462	0	0	0	0	0.00965169784974578	0	0	0	3.07085099746089e-05
ASV27	0	0	0	0	0	0	0.0100216858000441	0.00625287667524029	0.0100769089741205	0	0	0	0	0	0	0	0.000536322007020295	0
ASV29	0	0.0103454606108579	0	1.25111706881144e-05	0	0.00819036906908474	0	0	0	0.00488527391594604	2.35787457558258e-05	0	0	0	1.8917866506075e-05	0.00328101347677204	0	0
ASV38	0	0	0	0	0	0	0	0	0	0	0	0	0.0132431518639682	0	0	0	0	0
ASV39	0	0	0	0.00353708668453977	0	0	0	0	0	0	0	0	0	0	0.0112246007936045	0	0	0
ASV44	0	0	0	0	0	0	0	0.0106687423852714	0	0	0	0	0	0	0	0	0	0
ASV50	0	0	0	0	0.0130561225344172	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV55	0	2.96092175468171e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.0107500776420771	0	0	0
ASV58	0	0	0.0131817547775143	0	0	0	0	0	0	0	0	0	0	0	0	7.89941654541981e-05	0	0
ASV59	0	0	0	0	0.0123788489698557	0	0	0	3.95690142962849e-06	0	0	0	0	0	0	0	0	0
ASV71	0	0	0	0	0	0	0	0	0	0	0	0.0105120326630715	0	0	0	0	0	0
ASV91	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100239230117643	0	0	0	9.69742420250808e-06
