asv	BJ-1	BJ-2	BJ-3	HLD_A-1	HLD_A-2	HLD_A-3	HLD_B-1	HLD_B-2	HLD_B-3	MW-1	MW-2	MW-3	WLD-1	WLD-2	WLD-3	WZ-1	WZ-2	WZ-3
ASV84	1843	0	0	0	0	0	0	0	0	175	102	218	0	277	0	71	0	0
ASV85	0	3	0	0	0	0	0	0	0	5119	0	0	0	0	0	0	0	0
ASV86	0	0	0	0	0	0	0	0	0	0	0	5073	0	0	0	0	6	0
ASV87	0	1497	0	0	0	1034	0	0	0	0	0	0	0	0	0	0	2145	0
ASV88	0	0	1913	113	0	0	0	0	1601	0	1172	0	0	0	0	0	0	0
ASV89	0	0	1479	0	0	0	1764	1786	0	0	0	0	0	0	0	0	0	0
ASV90	0	0	0	945	0	1154	0	0	0	0	157	0	0	2411	0	0	0	0
ASV91	0	0	0	0	0	0	0	0	0	0	0	0	0	4982	0	0	0	6
ASV92	5	0	0	0	0	0	0	0	0	0	0	1380	0	9	0	616	0	2717
ASV93	0	0	0	0	0	1121	1750	0	0	0	0	0	0	0	1676	0	0	0
ASV94	0	0	0	0	0	0	1424	377	0	0	0	2938	0	0	0	0	4	0
ASV95	177	0	0	1586	0	0	0	0	0	0	0	0	298	988	1187	0	0	83
ASV96	0	0	0	0	0	0	0	0	0	0	0	0	4770	0	0	0	36	0
ASV97	0	0	0	0	0	0	1379	1859	0	0	0	0	0	1542	0	0	0	0
ASV98	1415	0	0	1203	0	0	0	0	0	0	0	1826	0	0	0	0	0	0
ASV99	0	0	0	0	2015	0	0	1888	0	673	0	0	0	0	0	80	0	0
ASV100	0	0	0	1074	0	0	0	0	0	1375	0	0	1982	0	0	0	0	0
ASV101	0	0	0	0	0	0	3236	0	0	1368	0	0	0	0	0	0	0	0
ASV102	1276	0	0	400	0	2697	0	0	0	0	0	0	0	0	0	0	0	0
ASV103	0	0	0	21	0	0	0	4187	0	0	0	0	0	0	0	0	0	0
ASV104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4123	0	0	0
ASV105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3785	0
ASV106	206	1081	933	92	0	1050	0	0	0	0	0	0	0	0	0	0	0	570
ASV107	0	0	0	0	0	0	0	0	0	0	0	0	0	4547	0	0	0	0
ASV108	0	752	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	2693
ASV109	0	0	0	0	0	0	0	0	3290	0	0	0	0	0	0	0	0	0
ASV110	907	0	0	479	0	0	0	0	0	0	0	0	2327	0	0	246	0	0
ASV111	0	0	0	545	0	2898	0	0	0	0	0	0	0	0	0	902	0	0
ASV112	0	0	0	0	0	0	0	0	0	2395	1086	0	0	0	0	0	0	0
ASV113	0	0	0	0	0	0	0	4270	0	0	0	0	0	0	0	0	0	0
ASV114	0	0	4137	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0
ASV115	0	0	0	0	0	2241	0	0	0	0	0	0	0	1417	91	0	0	0
ASV116	0	0	0	238	0	0	1904	0	0	0	0	0	0	0	0	0	978	1080
ASV117	0	0	0	0	0	0	896	0	890	0	0	0	0	0	2215	0	0	0
ASV118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4154	0
ASV119	0	0	0	500	0	0	0	0	0	0	1210	0	2027	0	0	0	0	0
ASV120	0	1304	0	480	0	0	0	0	0	0	0	0	2309	0	0	0	0	0
ASV121	0	0	0	0	0	0	0	0	0	4093	0	0	0	0	0	0	0	0
ASV122	0	1476	0	432	0	0	0	2150	0	0	0	0	0	0	0	0	0	0
ASV123	0	0	0	1838	15	0	0	22	0	0	0	0	0	0	0	0	0	0
ASV124	0	0	0	0	0	0	0	0	0	0	0	0	3999	0	0	0	49	0
ASV125	0	0	0	0	0	0	0	3894	0	0	0	33	0	0	0	0	0	0
ASV126	0	0	0	0	0	0	2025	0	0	0	0	0	0	1600	0	0	0	0
ASV127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3954	0	0	0
ASV128	0	2570	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV129	3601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ASV130	62	0	0	47	1685	0	92	102	0	0	108	0	0	99	73	71	0	771
ASV131	0	0	0	1226	0	0	2476	9	0	0	5	0	0	0	0	0	0	0
ASV132	0	0	0	20	3614	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV133	0	724	0	0	0	0	0	0	0	0	1793	0	0	1227	0	0	0	0
ASV134	0	0	0	0	0	0	0	2145	0	0	0	0	0	1545	0	0	0	0
ASV135	0	0	0	0	0	0	0	0	0	0	0	1387	0	0	0	0	0	2173
ASV136	0	0	0	1436	0	0	0	6	0	0	0	0	0	0	0	0	41	0
ASV137	0	0	0	996	0	0	1378	0	0	0	1283	0	0	0	0	0	0	0
ASV138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV139	0	0	0	0	0	0	3256	0	0	0	0	0	0	213	0	0	0	0
ASV140	0	0	875	537	0	0	0	2071	0	0	0	0	0	0	0	0	0	0
ASV141	0	0	0	0	0	0	0	0	0	0	0	0	3536	0	0	0	33	0
ASV142	0	0	0	0	0	0	0	0	39	0	0	0	3491	0	0	0	27	0
ASV143	0	0	1864	0	0	0	0	0	0	0	0	0	0	0	0	964	0	720
ASV144	0	0	0	0	0	0	0	0	0	0	0	3198	0	0	0	0	0	0
ASV145	0	0	0	0	0	0	0	0	0	0	0	0	3500	0	0	0	38	0
ASV146	0	0	0	0	0	0	0	0	3527	0	0	0	0	0	0	0	0	0
ASV147	4	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3504
ASV148	0	0	0	0	0	0	2052	0	0	0	0	0	0	975	0	452	0	0
ASV149	0	935	0	0	0	0	0	0	0	0	0	0	0	0	0	347	994	1198
ASV150	0	0	2171	0	0	0	0	0	0	0	0	0	0	0	0	0	1291	0
ASV151	0	0	0	0	0	0	0	0	0	1262	0	1414	0	0	0	518	0	0
ASV152	0	0	0	295	0	0	0	0	0	0	0	1657	0	0	1233	0	0	0
ASV153	0	0	0	1697	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV154	0	0	0	0	0	0	0	0	3341	0	0	0	0	0	0	0	0	0
ASV155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2117	0	0	1199
ASV156	0	0	0	0	0	0	0	0	0	0	861	0	2357	0	0	0	0	0
ASV157	0	0	0	1441	0	0	638	436	654	0	0	0	0	0	0	0	0	0
ASV158	0	0	0	0	0	0	0	0	0	0	1220	0	0	1656	0	0	0	0
ASV159	0	0	1722	0	0	0	1495	0	0	0	0	0	0	0	0	0	0	0
ASV160	0	0	0	0	0	0	2750	0	0	0	0	0	0	0	0	0	0	0
ASV161	0	0	0	0	1967	0	0	0	0	0	1251	0	0	0	0	0	0	0
ASV162	0	0	0	0	0	0	0	0	0	0	0	0	0	3211	0	0	0	0
ASV163	0	0	0	0	0	0	0	0	0	0	0	3193	0	0	0	0	0	0
ASV164	0	0	0	0	2052	0	0	0	1126	0	0	0	0	0	0	0	0	0
ASV165	0	0	0	147	0	1074	0	0	66	0	0	0	0	0	0	0	0	1293
ASV166	0	0	0	0	0	0	0	0	0	3153	0	0	0	0	0	0	0	0
ASV167	0	0	1695	0	0	0	0	0	0	0	0	0	1146	0	0	0	0	0
ASV168	0	0	0	0	3114	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV169	0	0	0	0	69	0	0	0	87	1420	0	0	0	0	0	0	0	1236
ASV170	0	0	0	0	0	0	0	0	1875	0	0	0	0	0	0	0	0	0
ASV171	0	0	1937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV172	0	0	0	0	0	0	3089	0	0	0	0	0	0	0	0	0	0	0
ASV173	0	0	0	0	0	0	3088	0	0	0	0	0	0	0	0	0	0	0
ASV174	0	1280	0	899	0	0	0	0	0	108	168	0	0	0	0	630	0	0
ASV175	0	0	0	0	0	0	0	0	3078	0	0	0	0	0	0	0	0	0
ASV176	0	0	0	20	0	0	0	18	0	1160	0	1878	0	0	0	0	0	0
ASV177	0	0	0	0	0	2751	0	0	0	0	0	0	0	0	174	0	0	0
ASV178	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2991
ASV179	0	0	0	0	0	0	0	0	0	0	2378	0	0	0	0	0	0	0
ASV180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV181	0	0	0	0	0	0	2401	0	0	0	0	0	0	0	0	0	0	0
ASV182	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ASV183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV184	0	0	0	0	0	1452	0	0	0	0	0	0	0	840	0	0	0	0
ASV185	0	0	0	0	0	0	0	0	0	1359	0	1437	0	0	0	0	0	0
ASV186	0	0	0	13	1830	0	0	0	0	0	40	0	0	25	0	0	37	0
ASV187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2865	0	0	0
ASV188	0	0	0	0	0	0	0	0	0	0	0	0	2719	0	0	0	25	0
ASV189	76	0	0	1072	0	0	0	0	1713	0	0	0	0	0	0	0	0	0
ASV190	0	2526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV191	0	0	0	0	0	0	2833	0	0	0	0	0	0	0	0	0	0	0
ASV192	0	0	0	1072	0	0	0	0	0	0	0	1765	0	0	0	0	0	0
ASV193	0	0	0	2422	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV194	0	0	2584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV195	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	2796	0	0
ASV196	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2767	0	0	0
ASV198	0	0	0	73	0	1177	0	0	0	0	0	0	0	0	0	924	0	0
ASV199	0	0	0	0	0	0	2750	0	0	0	0	0	0	0	0	0	0	0
ASV200	0	0	0	0	0	0	0	0	0	0	2743	0	0	0	0	0	0	0
ASV201	0	0	0	0	0	0	0	0	0	0	0	2742	0	0	0	0	0	0
ASV202	0	0	0	0	2732	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV203	0	0	0	0	0	1066	0	0	0	0	0	0	0	0	0	0	1305	0
ASV204	0	0	0	0	0	0	0	0	0	0	4	0	0	1899	0	749	0	11
ASV205	0	0	0	745	0	0	0	1772	0	71	0	81	0	0	0	0	0	0
ASV206	0	0	0	0	0	2600	0	0	0	0	0	0	0	0	0	0	0	0
ASV207	0	0	0	0	0	0	0	0	0	0	2565	0	0	0	0	0	0	0
ASV208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2551	0	0	0
ASV209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2544	0
ASV210	0	0	0	744	0	0	0	0	0	0	0	0	0	0	0	352	1325	0
ASV211	0	0	0	0	0	0	1640	0	0	0	96	0	0	0	0	437	0	0
ASV212	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0
ASV213	0	0	0	0	0	0	0	2472	0	0	0	0	0	0	0	0	0	0
ASV214	0	0	0	1990	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV215	0	0	0	0	0	0	0	0	2460	0	0	0	0	0	0	0	0	0
ASV216	0	2434	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV217	0	0	0	0	0	0	0	0	0	0	0	0	2397	0	0	0	39	0
ASV218	0	0	0	0	0	0	0	0	0	0	0	0	0	2407	0	0	0	0
ASV219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2403	0	0	0
ASV220	0	0	0	0	0	722	0	0	0	0	0	0	0	1571	0	0	0	0
ASV221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2392	0
ASV222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2387	0	0	0
ASV224	0	0	0	0	2369	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV225	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1681	0	0
ASV226	0	0	0	0	0	0	0	0	0	2067	0	0	0	0	0	0	0	0
ASV227	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2350	0	0	0
ASV228	0	0	0	0	0	0	0	0	0	0	1956	0	0	0	0	0	0	0
ASV229	0	0	2342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV230	0	0	4	11	3	0	0	0	0	0	0	0	0	0	0	96	160	0
ASV231	0	0	0	0	0	0	0	0	0	0	0	0	2338	0	0	0	0	0
ASV232	0	0	0	0	0	0	0	2317	0	0	0	0	0	0	0	0	0	0
ASV233	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	2300	0	0
ASV234	0	0	0	0	0	0	0	0	0	0	0	0	2291	0	0	0	23	0
ASV235	0	0	0	479	0	0	1828	0	0	0	0	0	0	0	0	0	0	0
ASV236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2290	0	0	0
ASV237	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	1076	804
ASV238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2153	0	0	0
ASV239	0	0	0	0	0	0	0	0	0	0	2278	0	0	0	0	0	0	0
ASV240	0	2266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV241	0	0	0	0	0	0	0	1636	0	0	0	0	0	0	0	0	525	0
ASV242	0	2258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV243	0	0	0	469	0	0	0	0	0	0	0	0	0	1286	0	0	0	0
ASV244	0	0	0	0	0	0	0	386	0	0	0	0	0	0	1706	0	0	0
ASV245	0	0	0	510	0	0	115	101	0	0	0	0	0	0	1348	0	0	0
ASV246	0	0	0	402	0	0	0	0	1710	0	0	0	0	0	0	0	0	0
ASV247	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0
ASV248	0	0	0	0	2149	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2228	0	0	0
ASV250	0	0	0	0	0	0	0	0	0	0	0	2221	0	0	0	0	0	0
ASV251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2220	0	0	0
ASV252	0	0	0	0	0	0	2217	0	0	0	0	0	0	0	0	0	0	0
ASV253	0	0	0	217	0	0	0	0	0	0	0	0	1925	0	0	0	0	0
ASV254	0	0	0	1726	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV255	0	0	0	0	0	0	0	0	0	0	0	0	2200	0	0	0	0	0
ASV256	0	0	0	0	0	0	0	0	0	0	0	2190	0	0	0	0	0	0
ASV257	0	0	0	0	0	0	386	0	198	0	0	0	0	1566	0	0	0	6
ASV258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2148
ASV259	0	0	0	0	0	0	2146	0	0	0	0	0	0	0	0	0	0	0
ASV260	0	0	0	0	0	0	0	1896	0	0	0	0	0	0	0	0	0	0
ASV261	0	0	0	0	0	0	0	0	0	0	0	2140	0	0	0	0	0	0
ASV262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1046	992
ASV263	0	0	0	513	0	0	0	0	0	0	0	1601	0	0	0	0	0	0
ASV264	0	0	0	331	0	0	0	0	0	732	0	0	0	0	0	0	1065	0
ASV265	0	0	0	494	0	1500	0	121	0	0	0	0	0	0	0	0	0	0
ASV266	0	2095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV267	0	0	0	0	0	0	0	0	0	0	835	0	0	1260	0	0	0	0
ASV268	0	0	0	0	0	0	0	2091	0	0	0	0	0	0	0	0	0	0
ASV269	0	0	2086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV270	0	0	0	0	0	0	0	0	1689	0	0	0	0	0	0	0	0	0
ASV271	0	0	0	0	2078	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV272	0	0	0	0	0	0	0	0	0	0	0	2078	0	0	0	0	0	0
ASV273	0	0	0	0	0	0	0	1825	0	0	0	0	0	0	0	0	0	249
ASV274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2064	0
ASV275	0	0	0	0	0	0	0	2055	0	0	0	0	0	0	0	0	0	0
ASV276	0	1383	0	0	0	0	0	0	0	0	0	0	0	0	0	475	0	0
ASV277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1984	0	0	0
ASV278	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	785	535
ASV279	0	0	0	0	0	0	0	2034	0	0	0	0	0	0	0	0	0	0
ASV280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV281	0	0	0	2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV282	0	0	0	0	2011	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV283	0	0	0	0	0	0	0	2009	0	0	0	0	0	0	0	0	0	0
ASV284	0	0	0	0	0	0	1899	0	0	0	0	0	0	0	0	0	0	0
ASV285	0	0	0	968	0	0	0	0	0	1025	0	0	0	0	0	0	0	0
ASV286	0	1318	0	0	0	0	0	0	0	0	0	0	0	613	0	0	0	0
ASV287	0	0	0	0	0	0	1978	0	0	0	0	0	0	0	0	0	0	0
ASV288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV289	0	0	0	443	0	1009	0	0	0	0	0	0	0	0	0	472	0	0
ASV290	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV291	0	0	0	0	0	0	0	0	0	0	1959	0	0	0	0	0	0	0
ASV292	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV293	0	0	0	0	0	0	0	0	0	0	0	1944	0	0	0	0	0	0
ASV294	0	0	0	0	0	0	0	1935	0	0	0	0	0	0	0	0	0	0
ASV295	0	0	0	0	0	0	0	1931	0	0	0	0	0	0	0	0	0	0
ASV296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV297	0	0	0	0	0	0	0	1798	0	0	0	0	0	0	105	0	0	0
ASV298	309	0	0	0	0	0	0	0	1419	0	0	0	0	0	0	0	0	0
ASV299	0	0	0	0	0	0	0	0	0	974	0	0	0	0	0	0	0	0
ASV300	0	0	0	0	0	0	0	0	0	1889	0	0	0	0	0	0	0	0
ASV301	0	0	0	0	0	0	0	0	0	0	0	0	0	1885	0	0	0	0
ASV302	0	0	0	0	1881	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV303	0	0	0	0	0	0	0	0	0	0	0	1881	0	0	0	0	0	0
ASV304	0	0	0	0	0	0	0	0	0	0	1879	0	0	0	0	0	0	0
ASV305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV306	0	0	0	16	0	16	0	0	0	0	0	0	0	0	0	45	0	0
ASV307	0	0	0	0	0	0	0	0	0	0	0	696	0	0	0	0	0	0
ASV308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1829	0
ASV309	0	0	0	0	0	0	1831	0	0	0	0	0	0	0	0	0	0	0
ASV310	0	0	0	0	0	0	0	0	0	0	0	0	0	1344	0	355	0	0
ASV311	0	0	0	1825	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV312	0	0	0	0	0	0	0	0	1475	0	0	0	0	0	0	0	0	0
ASV313	0	0	1661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV314	0	0	0	0	1510	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV315	0	0	0	0	0	0	1808	0	0	0	0	0	0	0	0	0	0	0
ASV316	0	0	0	0	0	0	0	0	0	0	0	1786	0	0	0	0	0	0
ASV317	0	0	0	0	1636	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV318	1716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	5
ASV319	0	0	0	0	0	0	0	0	1756	0	0	0	0	0	0	0	0	0
